location_name,coordinates
Charlotte,"(35.2272086, -80.8430827)"
Puerto Rico,"(18.2214149, -66.41328179513847)"
Guam,"(13.450125700000001, 144.75755102972062)"
Charlotte,"(35.2272086, -80.8430827)"
Puerto Rico,"(18.2214149, -66.41328179513847)"
Guam,"(13.450125700000001, 144.75755102972062)"
Charlotte,"(35.2272086, -80.8430827)"
Puerto Rico,"(18.2214149, -66.41328179513847)"
Guam,"(13.450125700000001, 144.75755102972062)"
Charlotte,"(35.2272086, -80.8430827)"
Puerto Rico,"(18.2214149, -66.41328179513847)"
Guam,"(13.450125700000001, 144.75755102972062)"
Charlotte,"(35.2272086, -80.8430827)"
Puerto Rico,"(18.2214149, -66.41328179513847)"
Guam,"(13.450125700000001, 144.75755102972062)"
Charlotte,"(35.2272086, -80.8430827)"
Puerto Rico,"(18.2214149, -66.41328179513847)"
Guam,"(13.450125700000001, 144.75755102972062)"
