labels,F4,F3,Fz,Cz,timestamps
0,-2085.08,-1186.34,-2099.6,-2513.47,-2.0000276395798657
0,-2087.53,-1182.62,-2097.0,-2518.6,-1.9950275704809144
0,-2086.96,-1178.37,-2104.76,-2512.2,-1.9900275013819666
0,-2085.79,-1171.85,-2098.76,-2508.97,-1.9850274322830153
0,-2086.22,-1171.19,-2088.39,-2508.03,-1.9800273631840675
0,-2078.78,-1171.81,-2083.72,-2498.75,-1.9750272940851161
0,-2078.8,-1177.88,-2081.78,-2500.11,-1.9700272249861683
0,-2076.19,-1165.88,-2083.52,-2499.18,-1.965027155887217
0,-2074.6,-1175.62,-2090.09,-2494.26,-1.9600270867882692
0,-2082.96,-1178.56,-2093.75,-2499.54,-1.9550270176893179
0,-2077.13,-1171.48,-2091.75,-2495.26,-1.95002694859037
0,-2074.97,-1167.82,-2083.1,-2496.09,-1.9450268794914187
0,-2072.68,-1163.09,-2075.02,-2495.29,-1.940026810392471
0,-2075.42,-1168.28,-2083.15,-2500.41,-1.9350267412935196
0,-2074.63,-1158.2,-2066.03,-2500.41,-1.9300266721945682
0,-2084.91,-1168.41,-2091.1,-2510.72,-1.9250266030956205
0,-2085.22,-1185.29,-2103.84,-2510.17,-1.9200265339966691
0,-2083.87,-1181.9,-2097.44,-2511.64,-1.9150264648977213
0,-2076.73,-1169.83,-2092.29,-2500.59,-1.91002639579877
0,-2084.94,-1170.27,-2099.03,-2510.57,-1.9050263266998222
0,-2086.74,-1165.38,-2092.17,-2509.09,-1.9000262576008708
0,-2090.17,-1173.35,-2096.58,-2509.28,-1.895026188501923
0,-2085.13,-1164.33,-2091.69,-2503.02,-1.8900261194029717
0,-2086.23,-1176.72,-2092.31,-2502.84,-1.885026050304024
0,-2080.4,-1176.74,-2091.5,-2501.32,-1.8800259812050726
0,-2080.14,-1174.12,-2089.62,-2496.6,-1.8750259121061248
0,-2081.34,-1170.19,-2087.28,-2495.95,-1.8700258430071734
0,-2087.42,-1162.7,-2086.58,-2493.93,-1.8650257739082257
0,-2086.55,-1173.8,-2086.44,-2496.39,-1.8600257048092743
0,-2079.32,-1173.91,-2089.08,-2502.45,-1.8550256357103265
0,-2074.25,-1162.02,-2079.55,-2496.14,-1.8500255666113752
0,-2072.5,-1154.03,-2077.57,-2494.43,-1.8450254975124274
0,-2077.35,-1161.71,-2085.48,-2500.7,-1.840025428413476
0,-2084.68,-1170.21,-2085.72,-2503.9,-1.8350253593145247
0,-2081.79,-1164.57,-2090.49,-2503.87,-1.830025290215577
0,-2081.48,-1163.59,-2078.82,-2496.71,-1.8250252211166256
0,-2078.1,-1171.82,-2084.53,-2505.5,-1.8200251520176778
0,-2075.04,-1163.71,-2090.7,-2497.39,-1.8150250829187264
0,-2086.56,-1179.72,-2100.08,-2503.24,-1.8100250138197786
0,-2087.26,-1173.25,-2092.26,-2506.47,-1.8050249447208273
0,-2080.21,-1157.15,-2082.63,-2494.2,-1.8000248756218795
0,-2084.72,-1165.38,-2095.84,-2500.75,-1.7950248065229282
0,-2085.35,-1177.37,-2094.61,-2500.63,-1.7900247374239804
0,-2084.29,-1174.08,-2091.09,-2499.82,-1.785024668325029
0,-2085.45,-1173.76,-2086.61,-2499.19,-1.7800245992260812
0,-2083.05,-1168.98,-2091.95,-2500.04,-1.77502453012713
0,-2071.65,-1169.34,-2077.51,-2496.03,-1.7700244610281821
0,-2073.65,-1170.28,-2076.91,-2496.03,-1.7650243919292308
0,-2082.96,-1179.75,-2092.33,-2501.57,-1.760024322830283
0,-2085.01,-1171.2,-2088.61,-2506.34,-1.7550242537313316
0,-2086.26,-1167.71,-2093.85,-2501.75,-1.7500241846323803
0,-2084.32,-1175.44,-2095.28,-2502.27,-1.7450241155334325
0,-2087.09,-1175.48,-2095.85,-2507.39,-1.7400240464344812
0,-2093.33,-1183.19,-2099.86,-2512.85,-1.7350239773355334
0,-2086.94,-1172.45,-2086.06,-2503.23,-1.730023908236582
0,-2087.5,-1168.97,-2096.6,-2502.74,-1.7250238391376342
0,-2086.22,-1165.04,-2089.47,-2499.67,-1.720023770038683
0,-2081.89,-1167.57,-2092.29,-2504.27,-1.715023700939735
0,-2084.64,-1175.38,-2091.41,-2505.99,-1.7100236318407838
0,-2085.02,-1168.84,-2083.95,-2502.89,-1.705023562741836
0,-2084.55,-1174.81,-2080.41,-2502.24,-1.7000234936428846
0,-2082.87,-1183.5,-2090.15,-2499.69,-1.6950234245439368
0,-2083.12,-1175.01,-2102.41,-2503.25,-1.6900233554449855
0,-2083.75,-1176.93,-2095.46,-2504.11,-1.6850232863460377
0,-2079.52,-1178.59,-2098.01,-2504.58,-1.6800232172470864
0,-2084.01,-1175.35,-2090.26,-2502.42,-1.6750231481481386
0,-2095.45,-1176.35,-2093.08,-2507.64,-1.6700230790491872
0,-2092.34,-1177.26,-2095.26,-2511.76,-1.6650230099502359
0,-2093.88,-1178.01,-2098.37,-2516.15,-1.660022940851288
0,-2089.35,-1175.02,-2098.97,-2508.67,-1.6550228717523368
0,-2080.53,-1157.2,-2083.97,-2497.08,-1.650022802653389
0,-2076.38,-1160.6,-2074.45,-2491.99,-1.6450227335544376
0,-2070.54,-1156.63,-2084.16,-2496.02,-1.6400226644554898
0,-2079.95,-1162.42,-2082.48,-2499.61,-1.6350225953565385
